eid_set_B_citing	eid_set_C_cited	cited_is_in_B	cited_is_in_A
8938345	3974252	1	0
8938345	25084674	1	0
8938345	27199724	1	1
8938345	27596215	1	0
8938345	27668888	1	0
8938345	29040783	1	0
8938345	30087802	1	0
8938345	20744456789	1	0
8947293	544203	1	0
8947293	21970692	1	1
8947293	22408283	1	0
8947293	22622360	1	1
8947293	22623818	1	0
8947293	22624255	1	1
8947293	22643765	1	1
8947293	24339447	1	1
8947293	24467745	1	0
8947293	24609764	1	0
8947293	25063076	1	1
8947293	25216323	1	1
8947293	25860239	1	0
8947293	25978290	1	1
8947293	26779259	1	1
8947293	27376925	1	1
8947293	27408740	1	0
8947293	27455417	1	0
8947293	27504040	1	0
8947293	27514621	1	1
8947293	27969154	1	0
8947293	27980844	1	1
8947293	28108099	1	0
8947293	28145782	1	1
8947293	28170517	1	0
8947293	28863238	1	1
8947293	28997086	1	0
8947293	29029246	1	1
8947293	29032476	1	0
8947293	29041749	1	0
8947293	29164624	1	1
8947293	29175770	1	0
8947293	30025513	1	0
8947293	31018433	1	1
8947293	2642602412	1	0
8947293	14444276989	1	0
8947293	23444462074	1	0
8947293	33845382806	1	1
9542458	22578862	1	0
9542458	25855156	1	0
9542458	26434554	1	0
9542458	26503161	1	0
9542458	27132492	1	0
9542458	27174663	1	0
9542458	27205194	1	0
9542458	27298445	1	1
9542458	27333348	1	0
9542458	27398938	1	0
9542458	27409792	1	0
9542458	27967385	1	0
9542458	28014460	1	0
9542458	28178784	1	0
9542458	28238668	1	0
9542458	28261060	1	0
9542458	28288927	1	0
9542458	28360076	1	0
9542458	28801774	1	0
9542458	28902752	1	0
9542458	28956146	1	0
9542458	28988331	1	0
9969062	4136246	1	0
9969062	23867459	1	0
9969062	26331048	1	0
9969062	26503996	1	0
9969062	28274570	1	0
9969062	28337602	1	0
9969062	28920059	1	0
9969062	30606320	1	0
11373544	22544541	1	0
11373544	28109801	1	0
11373544	29006409	1	0
11373544	29918886	1	0
11373544	30071890	1	0
11373544	30733294	1	0
11373544	17344373954	1	0
